A
a batch of
a bit
a blood donation
a case in point
a drastic debate
a far cry
a far cry from
a few
a good deal
a good many
a great deal
a great many
a historic spot
a little
a lot
a lot of
a lots
a man of fortune
a multitude of
a musical entertainment
a nominal check
a number of
a piece of cake
a preliminary exam
a preliminary trial
a reciprocal reception
a scenic spot
a sea of
a sequence of
a spot on one's fame
a string of questions
a succession of
a swarm of
a trifle
a variety of
a vivid description
a wedding reception
abandon doing sth.
abandon oneself to
abate up discontent
abide by
above abord
above all
above board
above one's head
above sb.s head
absolute velocity
absorb one's attention
absorb sb.'s attention
accelerated velocity
accept one's resignation
accept sb.'s resignation
access to
accord with
according to
account for
accuse of
accuse sb. of sth.
accustomed to
acknowledge doing
acknowledge…as
acquainted with
across the board
act on
act out
act up
act upon
actual velocity
adapt to
add in
add on
add to
add up
add up to
adhere to
adjust to
administer the oath to sb.
admit doing
admit of
admit one's guilt
advantage over
affiliate oneself to
afford to do sth.
after a fashion
after all
after glow
again and again
agree on
agree to
agree upon
ahead of
ahead of schedule
ahead of time
aim at
all along
all at once
all but
all in all
all manner of
all of a sudden
all over
all over again
all right
all the rest
all the same
all the time
all the way
all the while
all things considered
all thumbs
all told
allow for
allow of
allude to
along with
amend one's error
amount to
an abundance of
an appendix to the book
an assault on sb.
an assault on sth.
an exception to
an excess of expenditure over income
analogy between
and so forth
and so on
angle for
answer for
answer to
anything but
anything like
apart from
appeal to
apply for
apply to
approve of
approximate to
apt to
apt to do
arise from
arm in arm
around the clock
around the corner
arrive at a conclusion
as a matter of fact
as a result
as a result of
as a rule
as a rule of thumb
as a whole
as far as
as far as…be concerned
as follows
as for
as good as
as if
as it is
as it were
as long as
as much
as much as
as much…as
as often as not
as opposed to
as regard
as regards
as soon as
as such
as though
as to
as well
as well as
as yet
ascribe to
aside from
ask after
ask for
ask for comments
aspire after
aspire to
assert oneself
assist sb. in doing sth.
assist sb. to do sth.
assist sb. to one's feet
assist sb. to sb.'s feet
associate with
assure of
as…as
at a glance
at a loss
at a moment's notice
at a pinch
at a premium
at a rough estimate
at a stretch
at a stroke
at a time
at all
at all costs
at all events
at all times
at any cost
at any price
at any rate
at best
at ease
at fault
at first
at first appearance
at first blush
at first glance
at first sight
at full blast
at full tilt
at great length
at hand
at heart
at home
at intervals
at large
at last
at least
at leisure
at length
at liberty
at long last
at most
at no time
at odds
at odds with
at once
at one
at one stroke
at one time
at one with
at one's disposal
at one's option
at one's wit's end
at one's wits' end
at peace
at present
at random
at risk
at sb.'s disposal
at sb.s disposal
at sb.s expense
at sea
at short notice
at sight
at stake
at the beginning
at the climax of
at the cost of
at the expense of
at the latest
at the mercy of
at the moment
at the outset
at the outside
at the risk of
at the sacrifice of
at the same time
at times
at will
at work
attach importance to
attach sth. to sth.
attend to
attend upon
attribute to
attribute…to
avail oneself of
avail oneself to
avenge oneself on
back and forth
back away
back down
back off
back out
back up
backwards
badly off
ban from
bank on
bargain for
bargain on
barge in
base on
base upon
batch production
be a consistent friend to sb.
be a match for
be about to
be about to down
be above comprehension
be absorbed by
be absorbed in
be abundant in
be accessible to
be addicted to
be adequate for
be adequate to doing sth.
be adequate to sth.
be affiliated to
be affiliated with
be alert to
be apart from the context
be attached to
be aware of
be behind bars
be beyond one's comprehension
be beyond sb.'s comprehension
be blessed with
be blunt with
be blunt with sb.
be bound for
be bound to
be bound to do
be bound up in
be bound up with
be cautious about
be compatible with
